Name,Character,Ability,Strength,Magic,Synthesizes,Price,Value,Rank,Upgrade Cost,Levels,Master EXP,Upgraded To,Catalyst,Chapter
Blazefire Saber,Lightning,-,15⁠–⁠115,15⁠–⁠115,Physical Wall,2000 gil,1000 gil,3,300+57/lv,25,"24,600",Flamberge Lv.10,Perovskite,1
Flamberge,Lightning,-,68⁠–⁠323,68⁠–⁠323,Physical Wall,-,6196 gil,5,1500+215/lv,60,"470,550",Omega Weapon Lv.47,Trapezohedron,7
Omega Weapon,Lightning,-,302⁠–⁠620,302⁠–⁠620,-,-,84100 gil,11,3300+297/lv,99,"1,767,447",-,-,11
Axis Blade,Lightning,Attack: ATB Charge,8⁠–⁠48,8⁠–⁠48,ATB Rate,15000 gil,7500 gil,5,1200+225/lv,20,"66,750",Enkindler Lv.13,Adamantite,7
Enkindler,Lightning,Attack: ATB Charge II,49⁠–⁠133,49⁠–⁠133,ATB Rate,-,27468 gil,9,3600+261/lv,40,"347,580",Omega Weapon Lv.39,Trapezohedron,11
Omega Weapon,Lightning,Attack: ATB Charge II,132⁠–⁠315,132⁠–⁠315,-,-,93025 gil,11,3300+297/lv,99,"1,767,447",-,-,11
Edged Carbine,Lightning,-,8⁠–⁠83,20⁠–⁠170,Magic Wall,4600 gil,2300 gil,3,420+75/lv,25,"33,000",Razor Carbine Lv.13,Perovskite,5
Razor Carbine,Lightning,-,46⁠–⁠190,112⁠–⁠448,Magic Wall,-,12128 gil,5,1500+215/lv,60,"470,550",Omega Weapon Lv.47,Trapezohedron,7
Omega Weapon,Lightning,-,104⁠–⁠210,352⁠–⁠723,-,-,100700 gil,11,3300+297/lv,99,"1,767,447",-,-,11
Lifesaber,Lightning,Improved Raise,8⁠–⁠88,8⁠–⁠88,Low HP: Power Surge,20000 gil,10000 gil,5,1500+215/lv,20,"70,850",Peacemaker Lv.16,Scarletite,9
Peacemaker,Lightning,Improved Raise II,100⁠–⁠225,100⁠–⁠225,Low HP: Power Surge,-,33875 gil,8,3000+240/lv,40,"307,200",Omega Weapon Lv.37,Trapezohedron,9
Omega Weapon,Lightning,Improved Raise II,205⁠–⁠520,205⁠–⁠520,-,-,101300 gil,11,3300+297/lv,99,"1,767,447",-,-,11
Gladius,Lightning,-,25⁠–⁠175,13⁠–⁠88,Physical Wall,7100 gil,3550 gil,4,800+116/lv,25,"54,800",Helter-skelter Lv.19,Uraninite,2
Helter-skelter,Lightning,-,154⁠–⁠448,64⁠–⁠190,Physical Wall,-,20518 gil,6,1500+168/lv,60,"387,360",Omega Weapon Lv.42,Trapezohedron,7
Omega Weapon,Lightning,-,317⁠–⁠723,94⁠–⁠210,-,-,108990 gil,11,3300+297/lv,99,"1,767,447",-,-,11
Organyx,Lightning,Leadenstrike,37⁠–⁠187,37⁠–⁠187,Vampiric Strike,280000 gil,14000 gil,2,300+42/lv,25,"20,100",Apocalypse Lv.14,Cobaltite,11
Apocalypse,Lightning,Ironstrike,128⁠–⁠410,128⁠–⁠410,Vampiric Strike,-,38428 gil,4,800+116/lv,60,"253,320",Omega Weapon Lv.33,Trapezohedron,11
Omega Weapon,Lightning,Ironstrike,281⁠–⁠750,281⁠–⁠750,-,-,113300 gil,11,3300+297/lv,99,"1,767,447",-,-,11
Hauteclaire,Lightning,Stagger Lock,13⁠–⁠138,13⁠–⁠138,Random: Instant Chain,20000 gil,10000 gil,4,800+116/lv,25,"54,800",Durandal Lv.19,Uraninite,11
Durandal,Lightning,Stagger Lock,126⁠–⁠378,126⁠–⁠378,Random: Instant Chain,-,32318 gil,6,1500+168/lv,60,"387,360",Omega Weapon Lv.42,Trapezohedron,11
Omega Weapon,Lightning,Stagger Lock,305⁠–⁠711,305⁠–⁠711,-,-,109050 gil,11,3300+297/lv,99,"1,767,447",-,-,11
Lionheart,Lightning,Quick Stagger,8⁠–⁠68,8⁠–⁠68,Random: Instant Chain,28000 gil,14000 gil,6,1500+174/lv,20,"63,060",Ultima Weapon Lv.15,Scarletite,12
Ultima Weapon,Lightning,Quick Stagger,83⁠–⁠213,83⁠–⁠213,Random: Instant Chain,-,43750 gil,8,2600+232/lv,40,"284,960",Omega Weapon Lv.35,Trapezohedron,12
Omega Weapon,Lightning,Quick Stagger,183⁠–⁠508,183⁠–⁠508,-,-,116400 gil,11,3300+297/lv,99,"1,767,447",-,-,12
Vega 42s,Sazh,-,12⁠–⁠137,14⁠–⁠139,Magic Wall,2000 gil,1000 gil,3,300+57/lv,25,"24,600",Altairs Lv.10,Perovskite,1
Altairs,Sazh,-,74⁠–⁠380,84⁠–⁠390,Magic Wall,-,6196 gil,5,1500+215/lv,60,"470,550",Total Eclipses Lv.45,Trapezohedron,7
Total Eclipses,Sazh,-,372⁠–⁠812,382⁠–⁠822,-,-,81000 gil,11,2640+363/lv,99,"2,022,273",-,-,11
Spica Defenders,Sazh,Augment Maintenance,6⁠–⁠46,15⁠–⁠95,Buff Duration,14500 gil,7250 gil,5,1200+225/lv,20,"66,750",Sirius Sidearms Lv.16,Scarletite,8
Sirius Sidearms,Sazh,Augment Maintenance II,65⁠–⁠140,95⁠–⁠220,Buff Duration,-,26725 gil,8,2600+232/lv,40,"284,960",Total Eclipses Lv.34,Trapezohedron,9
Total Eclipses,Sazh,Augment Maintenance II,251⁠–⁠713,317⁠–⁠911,-,-,84137 gil,11,2640+363/lv,99,"2,022,273",-,-,11
Deneb Duellers,Sazh,-,8⁠–⁠108,24⁠–⁠249,Magic Wall,3900 gil,1950 gil,3,420+75/lv,25,"33,000",Canopus AMPs Lv.13,Perovskite,3
Canopus AMPs,Sazh,-,86⁠–⁠374,156⁠–⁠636,Magic Wall,-,10728 gil,5,1500+215/lv,60,"470,550",Total Eclipses Lv.45,Trapezohedron,7
Total Eclipses,Sazh,-,278⁠–⁠608,520⁠–⁠1125,-,-,93160 gil,11,2640+363/lv,99,"2,022,273",-,-,11
Rigels,Sazh,Stagger Lock,10⁠–⁠160,15⁠–⁠165,Random: Instant Chain,19000 gil,9500 gil,4,800+116/lv,25,"54,800",Polaris Specials Lv.19,Uraninite,10
Polaris Specials,Sazh,Stagger Lock,160⁠–⁠496,168⁠–⁠504,Random: Instant Chain,-,31018 gil,6,1500+168/lv,60,"387,360",Total Eclipses Lv.40,Trapezohedron,10
Total Eclipses,Sazh,Stagger Lock,406⁠–⁠1006,414⁠–⁠1014,-,-,103675 gil,11,2640+363/lv,99,"2,022,273",-,-,11
Aldebarans,Sazh,Leadenstrike,-,40⁠–⁠265,Vampiric Strike,263000 gil,13150 gil,2,300+42/lv,25,"20,100",Sadalmeliks Lv.14,Cobaltite,11
Sadalmeliks,Sazh,Ironstrike,-,190⁠–⁠660,Vampiric Strike,-,36218 gil,4,800+116/lv,60,"253,320",Total Eclipses Lv.32,Trapezohedron,11
Total Eclipses,Sazh,Ironstrike,-,402⁠–⁠1150,-,-,107882 gil,11,2640+363/lv,99,"2,022,273",-,-,11
Pleiades Hi-Powers,Sazh,Paper Tiger,40⁠–⁠340,-,Damage Wall,22000 gil,11000 gil,3,420+75/lv,25,"33,000",Hyades Magnums Lv.13,Perovskite,11
Hyades Magnums,Sazh,Silk Tiger,276⁠–⁠1140,-,Damage Wall,-,31528 gil,5,1500+215/lv,60,"470,550",Total Eclipses Lv.45,Trapezohedron,11
Total Eclipses,Sazh,Silk Tiger,545⁠–⁠1150,-,-,-,118250 gil,11,2640+363/lv,99,"2,022,273",-,-,11
Antares Deluxes,Sazh,Chain Bonus Boost,12⁠–⁠92,18⁠–⁠98,ATB Rate,22000 gil,11000 gil,4,800+116/lv,20,"38,040",Fomalhaut Elites Lv.15,Uraninite,12
Fomalhaut Elites,Sazh,Chain Bonus Boost II,86⁠–⁠216,92⁠–⁠222,ATB Rate,-,32730 gil,6,1500+168/lv,40,"191,040",Total Eclipses Lv.27,Trapezohedron,12
Total Eclipses,Sazh,Chain Bonus Boost II,172⁠–⁠610,178⁠–⁠616,-,-,90350 gil,11,2640+363/lv,99,"2,022,273",-,-,12
Procyons,Sazh,Stagger Maintenance,14⁠–⁠94,9⁠–⁠49,Random: Instant Chain,30000 gil,15000 gil,6,1500+174/lv,20,"63,060",Betelgeuse Customs Lv.15,Dark Matter,6
Betelgeuse Customs,Sazh,Stagger Maintenance II,104⁠–⁠260,60⁠–⁠138,Random: Instant Chain,-,50480 gil,10,2600+260/lv,40,"306,800",Total Eclipses Lv.35,Trapezohedron,11
Total Eclipses,Sazh,Stagger Maintenance II,230⁠–⁠620,154⁠–⁠414,-,-,120950 gil,11,2640+363/lv,99,"2,022,273",-,-,11
Wild Bear,Snow,-,15⁠–⁠140,15⁠–⁠140,Physical Wall,1800 gil,900 gil,3,300+57/lv,25,"24,600",Feral Pride Lv.10,Perovskite,1
Feral Pride,Snow,-,77⁠–⁠383,77⁠–⁠383,Physical Wall,-,5796 gil,5,1500+215/lv,60,"470,550",Save the Queen Lv.48,Trapezohedron,7
Save the Queen,Snow,-,353⁠–⁠717,353⁠–⁠717,-,-,84370 gil,11,3333+286/lv,99,"1,717,353",-,-,11
Paladin,Snow,Improved Guard,8⁠–⁠88,8⁠–⁠88,High HP: Power Surge,20000 gil,10000 gil,5,1200+225/lv,20,"66,750",Winged Saint Lv.16,Scarletite,7
Winged Saint,Snow,Improved Guard II,88⁠–⁠213,88⁠–⁠213,High HP: Power Surge,-,33875 gil,8,2600+232/lv,40,"284,960",Save the Queen Lv.35,Trapezohedron,9
Save the Queen,Snow,Improved Guard II,185⁠–⁠510,185⁠–⁠510,-,-,98200 gil,11,3333+286/lv,99,"1,717,353",-,-,11
Rebel Heart,Snow,Critical: Power Surge,5⁠–⁠65,10⁠–⁠70,Low HP: Power Surge,11000 gil,5500 gil,4,800+116/lv,20,"38,040",Warrior's Emblem Lv.15,Uraninite,12
Warrior's Emblem,Snow,Critical: Power Surge II,92⁠–⁠248,101⁠–⁠257,Low HP: Power Surge,-,18430 gil,6,1500+168/lv,40,"191,040",Save the Queen Lv.28,Trapezohedron,12
